"Bleaching.Score","Tank","Treatment","Timepoint","Coral.ID","Group"
"R1-A1",2.45439111911953,5,"Ambient","A1","R1","Ambient A1"
"R2-A1",2.59479213986385,5,"Ambient","A1","R2","Ambient A1"
"R3-A1",2.42954504206158,6,"Hot","A1","R3","Hot A1"
"R4-A1",2.59172187612462,6,"Hot","A1","R4","Hot A1"
"R5-A1",1.21932865164518,5,"Ambient","A1","R5","Ambient A1"
"R6-A1",1.96851556657637,5,"Ambient","A1","R6","Ambient A1"
"R7-A1",2.32107622188158,5,"Ambient","A1","R7","Ambient A1"
"R8-A1",0.668345636930483,6,"Hot","A1","R8","Hot A1"
"R9-A1",1.78941445720441,6,"Hot","A1","R9","Hot A1"
"R10-A1",2.48519282196487,5,"Ambient","A1","R10","Ambient A1"
"R11-A1",2.248198989718,6,"Hot","A1","R11","Hot A1"
"R12-A1",2.70282555503703,6,"Hot","A1","R12","Hot A1"
"R13-A1",1.75519653305268,5,"Ambient","A1","R13","Ambient A1"
"R14-A1",1.58359501881815,5,"Ambient","A1","R14","Ambient A1"
"R15-A1",1.01625627854926,5,"Ambient","A1","R15","Ambient A1"
"R16-A1",2.37248109143681,5,"Ambient","A1","R16","Ambient A1"
"R17-A1",2.43011575938714,5,"Ambient","A1","R17","Ambient A1"
"R18-A1",2.62172173670981,5,"Ambient","A1","R18","Ambient A1"
"R19-A1",2.71298765063124,6,"Hot","A1","R19","Hot A1"
"R20-A1",2.35758236726667,6,"Hot","A1","R20","Hot A1"
"R21-A1",1.93472117417615,6,"Hot","A1","R21","Hot A1"
"R22-A1",2.68785813775255,5,"Ambient","A1","R22","Ambient A1"
"R23-A1",0.29350762503684,5,"Ambient","A1","R23","Ambient A1"
"R24-A1",2.31666897123234,6,"Hot","A1","R24","Hot A1"
"R25-A1",2.65836531461137,5,"Ambient","A1","R25","Ambient A1"
"R26-A1",2.72309586563662,6,"Hot","A1","R26","Hot A1"
"R27-A1",2.72094576414013,6,"Hot","A1","R27","Hot A1"
"R28-A1",2.47828046598335,6,"Hot","A1","R28","Hot A1"
"R29-A1",1.94921078468245,6,"Hot","A1","R29","Hot A1"
"R30-A1",2.74419957556563,6,"Hot","A1","R30","Hot A1"
"R31-A1",2.13570507164225,6,"Hot","A1","R31","Hot A1"
"R32-A1",2.1024741932316,5,"Ambient","A1","R32","Ambient A1"
"R33-A1",2.492487647518,5,"Ambient","A1","R33","Ambient A1"
"R34-A1",1.80951015833041,5,"Ambient","A1","R34","Ambient A1"
"R35-A1",2.46643022647306,6,"Hot","A1","R35","Hot A1"
"R36-A1",1.91357960034467,6,"Hot","A1","R36","Hot A1"
"R37-A1",2.57882316936102,6,"Hot","A1","R37","Hot A1"
"R38-A1",2.47738894393563,6,"Hot","A1","R38","Hot A1"
"R39-A1",2.30564200144183,5,"Ambient","A1","R39","Ambient A1"
"R40-A1",2.70063751368172,5,"Ambient","A1","R40","Ambient A1"
"R1-A2",1.08208105257616,5,"Ambient","A2","R1","Ambient A2"
"R2-A2",1.63129399226213,5,"Ambient","A2","R2","Ambient A2"
"R3-A2",-4.98242913554982,6,"Hot","A2","R3","Hot A2"
"R4-A2",-2.27206551354388,6,"Hot","A2","R4","Hot A2"
"R5-A2",1.30160519169809,5,"Ambient","A2","R5","Ambient A2"
"R6-A2",2.37080733131889,5,"Ambient","A2","R6","Ambient A2"
"R7-A2",2.34146930386068,5,"Ambient","A2","R7","Ambient A2"
"R8-A2",-7.9892899291625,6,"Hot","A2","R8","Hot A2"
"R9-A2",2.76638441558917,6,"Hot","A2","R9","Hot A2"
"R10-A2",1.21039569189476,5,"Ambient","A2","R10","Ambient A2"
"R11-A2",-4.01188510669748,6,"Hot","A2","R11","Hot A2"
"R12-A2",-7.64985222423844,6,"Hot","A2","R12","Hot A2"
"R13-A2",1.83641592448734,5,"Ambient","A2","R13","Ambient A2"
"R14-A2",1.88076964981324,5,"Ambient","A2","R14","Ambient A2"
"R15-A2",1.44829265904296,5,"Ambient","A2","R15","Ambient A2"
"R16-A2",1.38878021594543,5,"Ambient","A2","R16","Ambient A2"
"R17-A2",2.62656069646777,5,"Ambient","A2","R17","Ambient A2"
"R18-A2",1.01097066313892,5,"Ambient","A2","R18","Ambient A2"
"R19-A2",-8.71698895861496,6,"Hot","A2","R19","Hot A2"
"R20-A2",-5.3452615645613,6,"Hot","A2","R20","Hot A2"
"R21-A2",-3.85554779077094,6,"Hot","A2","R21","Hot A2"
"R22-A2",1.85574382569332,5,"Ambient","A2","R22","Ambient A2"
"R23-A2",1.9088949916933,5,"Ambient","A2","R23","Ambient A2"
"R24-A2",-5.24457032694657,6,"Hot","A2","R24","Hot A2"
"R25-A2",2.29880773498766,5,"Ambient","A2","R25","Ambient A2"
"R26-A2",-4.58413828251338,6,"Hot","A2","R26","Hot A2"
"R27-A2",-4.9715865732142,6,"Hot","A2","R27","Hot A2"
"R28-A2",-7.11547768824127,6,"Hot","A2","R28","Hot A2"
"R29-A2",-3.93891659726706,6,"Hot","A2","R29","Hot A2"
"R30-A2",-2.40730641695274,6,"Hot","A2","R30","Hot A2"
"R31-A2",-5.19407039465557,6,"Hot","A2","R31","Hot A2"
"R32-A2",2.55061991857128,5,"Ambient","A2","R32","Ambient A2"
"R33-A2",-0.717629723500022,5,"Ambient","A2","R33","Ambient A2"
"R34-A2",2.04184992540677,5,"Ambient","A2","R34","Ambient A2"
"R35-A2",-3.3064515976419,6,"Hot","A2","R35","Hot A2"
"R36-A2",-3.09207761982277,6,"Hot","A2","R36","Hot A2"
"R37-A2",-8.32568510872092,6,"Hot","A2","R37","Hot A2"
"R38-A2",-6.48687150419363,6,"Hot","A2","R38","Hot A2"
"R39-A2",0.384637853605721,5,"Ambient","A2","R39","Ambient A2"
"R40-A2",-0.533830988203327,5,"Ambient","A2","R40","Ambient A2"
"R1-A3",0.186044135218465,5,"Ambient","A3","R1","Ambient A3"
"R2-A3",1.14090383881936,5,"Ambient","A3","R2","Ambient A3"
"R3-A3",-7.08127750331312,6,"Hot","A3","R3","Hot A3"
"R4-A3",0.424471893880989,6,"Hot","A3","R4","Hot A3"
"R5-A3",-1.57500577886614,5,"Ambient","A3","R5","Ambient A3"
"R6-A3",1.29097435069101,5,"Ambient","A3","R6","Ambient A3"
"R7-A3",1.69588343270482,5,"Ambient","A3","R7","Ambient A3"
"R8-A3",-10.7267046447156,6,"Hot","A3","R8","Hot A3"
"R10-A3",-0.330110289641004,5,"Ambient","A3","R10","Ambient A3"
"R11-A3",-2.91994914475812,6,"Hot","A3","R11","Hot A3"
"R12-A3",-7.17717654177941,6,"Hot","A3","R12","Hot A3"
"R13-A3",-0.264816940824018,5,"Ambient","A3","R13","Ambient A3"
"R14-A3",0.980753382056499,5,"Ambient","A3","R14","Ambient A3"
"R15-A3",-0.262631143308518,5,"Ambient","A3","R15","Ambient A3"
"R16-A3",0.524357501525669,5,"Ambient","A3","R16","Ambient A3"
"R17-A3",2.25893414492268,5,"Ambient","A3","R17","Ambient A3"
"R18-A3",0.917363300447798,5,"Ambient","A3","R18","Ambient A3"
"R19-A3",-9.19661103340784,6,"Hot","A3","R19","Hot A3"
"R20-A3",-5.98930167382355,6,"Hot","A3","R20","Hot A3"
"R21-A3",-4.86718031998629,6,"Hot","A3","R21","Hot A3"
"R22-A3",1.29774905420468,5,"Ambient","A3","R22","Ambient A3"
"R23-A3",-1.13780528001795,5,"Ambient","A3","R23","Ambient A3"
"R24-A3",-7.51379146964278,6,"Hot","A3","R24","Hot A3"
"R25-A3",2.58972479537633,5,"Ambient","A3","R25","Ambient A3"
"R26-A3",-7.10673272395535,6,"Hot","A3","R26","Hot A3"
"R27-A3",-4.2378811921436,6,"Hot","A3","R27","Hot A3"
"R28-A3",-10.1360177197118,6,"Hot","A3","R28","Hot A3"
"R29-A3",-4.27905866862079,6,"Hot","A3","R29","Hot A3"
"R30-A3",-1.2226794779566,6,"Hot","A3","R30","Hot A3"
"R31-A3",-10.1860705117832,6,"Hot","A3","R31","Hot A3"
"R32-A3",2.04303528413629,5,"Ambient","A3","R32","Ambient A3"
"R33-A3",-0.618979993828221,5,"Ambient","A3","R33","Ambient A3"
"R34-A3",0.872789094464408,5,"Ambient","A3","R34","Ambient A3"
"R35-A3",-4.70406580311786,6,"Hot","A3","R35","Hot A3"
"R36-A3",-7.82804866875525,6,"Hot","A3","R36","Hot A3"
"R37-A3",-8.90941624312281,6,"Hot","A3","R37","Hot A3"
"R38-A3",-8.05449962477064,6,"Hot","A3","R38","Hot A3"
"R39-A3",1.34670577929302,5,"Ambient","A3","R39","Ambient A3"
"R40-A3",0.831228510826976,5,"Ambient","A3","R40","Ambient A3"
"R1-A4",2.52127530712634,5,"Ambient","A4","R1","Ambient A4"
"R2-A4",2.58354650995149,5,"Ambient","A4","R2","Ambient A4"
"R3-A4",2.34303482047885,6,"Hot","A4","R3","Hot A4"
"R5-A4",2.57895378022569,5,"Ambient","A4","R5","Ambient A4"
"R6-A4",2.74049960676626,5,"Ambient","A4","R6","Ambient A4"
"R7-A4",2.16538384858803,5,"Ambient","A4","R7","Ambient A4"
"R8-A4",-1.67121487367042,6,"Hot","A4","R8","Hot A4"
"R10-A4",2.42250966358093,5,"Ambient","A4","R10","Ambient A4"
"R11-A4",1.73945947325638,6,"Hot","A4","R11","Hot A4"
"R12-A4",-0.984872664759613,6,"Hot","A4","R12","Hot A4"
"R13-A4",1.75375476104188,5,"Ambient","A4","R13","Ambient A4"
"R14-A4",1.57206533745782,5,"Ambient","A4","R14","Ambient A4"
"R15-A4",2.59424375443326,5,"Ambient","A4","R15","Ambient A4"
"R16-A4",2.10426819190878,5,"Ambient","A4","R16","Ambient A4"
"R17-A4",2.16375343313677,5,"Ambient","A4","R17","Ambient A4"
"R18-A4",2.6434313827356,5,"Ambient","A4","R18","Ambient A4"
"R19-A4",1.04957325039191,6,"Hot","A4","R19","Hot A4"
"R20-A4",1.58770697001576,6,"Hot","A4","R20","Hot A4"
"R21-A4",2.51618663917773,6,"Hot","A4","R21","Hot A4"
"R22-A4",2.69983326653478,5,"Ambient","A4","R22","Ambient A4"
"R23-A4",2.44930941590214,5,"Ambient","A4","R23","Ambient A4"
"R24-A4",-0.0452025455660436,6,"Hot","A4","R24","Hot A4"
"R25-A4",2.28814030637722,5,"Ambient","A4","R25","Ambient A4"
"R26-A4",2.44349093583213,6,"Hot","A4","R26","Hot A4"
"R27-A4",2.06695848436174,6,"Hot","A4","R27","Hot A4"
"R28-A4",0.808619972090926,6,"Hot","A4","R28","Hot A4"
"R29-A4",-0.630403766178804,6,"Hot","A4","R29","Hot A4"
"R31-A4",-1.66939798084114,6,"Hot","A4","R31","Hot A4"
"R32-A4",2.4058389748463,5,"Ambient","A4","R32","Ambient A4"
"R33-A4",2.73681640955172,5,"Ambient","A4","R33","Ambient A4"
"R34-A4",2.78055642731066,5,"Ambient","A4","R34","Ambient A4"
"R35-A4",0.546894342593845,6,"Hot","A4","R35","Hot A4"
"R36-A4",1.24486753282672,6,"Hot","A4","R36","Hot A4"
"R37-A4",-0.471335425071713,6,"Hot","A4","R37","Hot A4"
"R38-A4",2.52451198107548,6,"Hot","A4","R38","Hot A4"
"R39-A4",2.1923359848624,5,"Ambient","A4","R39","Ambient A4"
"R40-A4",1.38286594667256,5,"Ambient","A4","R40","Ambient A4"
"R1-A5",1.67691501983368,5,"Ambient","A5","R1","Ambient A5"
"R2-A5",2.25568983860654,5,"Ambient","A5","R2","Ambient A5"
"R3-A5",0.52263554655168,6,"Hot","A5","R3","Hot A5"
"R5-A5",1.7616494274744,5,"Ambient","A5","R5","Ambient A5"
"R6-A5",2.14763049730543,5,"Ambient","A5","R6","Ambient A5"
"R7-A5",2.14966441439512,5,"Ambient","A5","R7","Ambient A5"
"R8-A5",-2.41881921806442,6,"Hot","A5","R8","Hot A5"
"R10-A5",2.38715837824201,5,"Ambient","A5","R10","Ambient A5"
"R11-A5",1.53286639707516,6,"Hot","A5","R11","Hot A5"
"R12-A5",-0.0997991927634547,6,"Hot","A5","R12","Hot A5"
"R13-A5",1.77716249325966,5,"Ambient","A5","R13","Ambient A5"
"R14-A5",2.57980219616323,5,"Ambient","A5","R14","Ambient A5"
"R15-A5",2.29100397087333,5,"Ambient","A5","R15","Ambient A5"
"R16-A5",2.24033017437036,5,"Ambient","A5","R16","Ambient A5"
"R17-A5",1.76860612936041,5,"Ambient","A5","R17","Ambient A5"
"R18-A5",0.502231437436849,5,"Ambient","A5","R18","Ambient A5"
"R19-A5",-1.68461330792441,6,"Hot","A5","R19","Hot A5"
"R20-A5",-1.03714044528371,6,"Hot","A5","R20","Hot A5"
"R21-A5",0.376548503767388,6,"Hot","A5","R21","Hot A5"
"R22-A5",-0.669007376604969,5,"Ambient","A5","R22","Ambient A5"
"R23-A5",1.04776438501598,5,"Ambient","A5","R23","Ambient A5"
"R24-A5",-0.00243991974458564,6,"Hot","A5","R24","Hot A5"
"R25-A5",2.63126878362642,5,"Ambient","A5","R25","Ambient A5"
"R26-A5",1.26824394130408,6,"Hot","A5","R26","Hot A5"
"R27-A5",0.101233007852394,6,"Hot","A5","R27","Hot A5"
"R28-A5",-1.68910891333623,6,"Hot","A5","R28","Hot A5"
"R29-A5",-0.845923095577332,6,"Hot","A5","R29","Hot A5"
"R31-A5",-5.08862226280594,6,"Hot","A5","R31","Hot A5"
"R32-A5",2.64424681840671,5,"Ambient","A5","R32","Ambient A5"
"R33-A5",2.09120317746099,5,"Ambient","A5","R33","Ambient A5"
"R34-A5",2.29022327444642,5,"Ambient","A5","R34","Ambient A5"
"R35-A5",1.07042405354594,6,"Hot","A5","R35","Hot A5"
"R36-A5",-0.679993491516453,6,"Hot","A5","R36","Hot A5"
"R37-A5",-4.27951538752167,6,"Hot","A5","R37","Hot A5"
"R38-A5",1.20748906109658,6,"Hot","A5","R38","Hot A5"
"R39-A5",2.41181164852088,5,"Ambient","A5","R39","Ambient A5"
"R40-A5",2.50054976161098,5,"Ambient","A5","R40","Ambient A5"
