Vial,Date,Run,Well,Sample.Type
BLANK,20210708,1,A1,Blank
5,20210708,1,B1,Sample
11,20210708,1,C1,Sample
17,20210708,1,D1,Sample
23,20210708,1,E1,Sample
29,20210708,1,F1,Sample
35,20210708,1,G1,Sample
41,20210708,1,H1,Sample
BLANK,20210708,1,A2,Blank
5,20210708,1,B2,Sample
11,20210708,1,C2,Sample
17,20210708,1,D2,Sample
23,20210708,1,E2,Sample
29,20210708,1,F2,Sample
35,20210708,1,G2,Sample
41,20210708,1,H2,Sample
BLANK,20210708,1,A3,Blank
5,20210708,1,B3,Sample
11,20210708,1,C3,Sample
17,20210708,1,D3,Sample
23,20210708,1,E3,Sample
29,20210708,1,F3,Sample
35,20210708,1,G3,Sample
41,20210708,1,H3,Sample
47,20210708,1,A4,Sample
53,20210708,1,B4,Sample
59,20210708,1,C4,Sample
65,20210708,1,D4,Sample
71,20210708,1,E4,Sample
77,20210708,1,F4,Sample
83,20210708,1,G4,Sample
NA,20210708,1,H4,NA
47,20210708,1,A5,Sample
53,20210708,1,B5,Sample
59,20210708,1,C5,Sample
65,20210708,1,D5,Sample
71,20210708,1,E5,Sample
77,20210708,1,F5,Sample
83,20210708,1,G5,Sample
NA,20210708,1,H5,NA
47,20210708,1,A6,Sample
53,20210708,1,B6,Sample
59,20210708,1,C6,Sample
65,20210708,1,D6,Sample
71,20210708,1,E6,Sample
77,20210708,1,F6,Sample
83,20210708,1,G6,Sample
NA,20210708,1,H6,NA
NA,20210708,1,A7,NA
NA,20210708,1,B7,NA
NA,20210708,1,C7,NA
NA,20210708,1,D7,NA
NA,20210708,1,E7,NA
NA,20210708,1,F7,NA
NA,20210708,1,G7,NA
NA,20210708,1,H7,NA
NA,20210708,1,A8,NA
NA,20210708,1,B8,NA
NA,20210708,1,C8,NA
NA,20210708,1,D8,NA
NA,20210708,1,E8,NA
NA,20210708,1,F8,NA
NA,20210708,1,G8,NA
NA,20210708,1,H8,NA
NA,20210708,1,A9,NA
NA,20210708,1,B9,NA
NA,20210708,1,C9,NA
NA,20210708,1,D9,NA
NA,20210708,1,E9,NA
NA,20210708,1,F9,NA
NA,20210708,1,G9,NA
NA,20210708,1,H9,NA
NA,20210708,1,A10,NA
NA,20210708,1,B10,NA
NA,20210708,1,C10,NA
NA,20210708,1,D10,NA
NA,20210708,1,E10,NA
NA,20210708,1,F10,NA
NA,20210708,1,G10,NA
NA,20210708,1,H10,NA
NA,20210708,1,A11,NA
NA,20210708,1,B11,NA
NA,20210708,1,C11,NA
NA,20210708,1,D11,NA
NA,20210708,1,E11,NA
NA,20210708,1,F11,NA
NA,20210708,1,G11,NA
NA,20210708,1,H11,NA
NA,20210708,1,A12,NA
NA,20210708,1,B12,NA
NA,20210708,1,C12,NA
NA,20210708,1,D12,NA
NA,20210708,1,E12,NA
NA,20210708,1,F12,NA
NA,20210708,1,G12,NA
NA,20210708,1,H12,NA
BLANK,20210716,2,A1,Blank
89,20210716,2,B1,Sample
95,20210716,2,C1,Sample
101,20210716,2,D1,Sample
107,20210716,2,E1,Sample
113,20210716,2,F1,Sample
119,20210716,2,G1,Sample
125,20210716,2,H1,Sample
BLANK,20210716,2,A2,Blank
89,20210716,2,B2,Sample
95,20210716,2,C2,Sample
101,20210716,2,D2,Sample
107,20210716,2,E2,Sample
113,20210716,2,F2,Sample
119,20210716,2,G2,Sample
125,20210716,2,H2,Sample
BLANK,20210716,2,A3,Blank
89,20210716,2,B3,Sample
95,20210716,2,C3,Sample
101,20210716,2,D3,Sample
107,20210716,2,E3,Sample
113,20210716,2,F3,Sample
119,20210716,2,G3,Sample
125,20210716,2,H3,Sample
131,20210716,2,A4,Sample
137,20210716,2,B4,Sample
143,20210716,2,C4,Sample
149,20210716,2,D4,Sample
155,20210716,2,E4,Sample
161,20210716,2,F4,Sample
167,20210716,2,G4,Sample
173,20210716,2,H4,Sample
131,20210716,2,A5,Sample
137,20210716,2,B5,Sample
143,20210716,2,C5,Sample
149,20210716,2,D5,Sample
155,20210716,2,E5,Sample
161,20210716,2,F5,Sample
167,20210716,2,G5,Sample
173,20210716,2,H5,Sample
131,20210716,2,A6,Sample
137,20210716,2,B6,Sample
143,20210716,2,C6,Sample
149,20210716,2,D6,Sample
155,20210716,2,E6,Sample
161,20210716,2,F6,Sample
167,20210716,2,G6,Sample
173,20210716,2,H6,Sample
179,20210716,2,A7,Sample
185,20210716,2,B7,Sample
191,20210716,2,C7,Sample
197,20210716,2,D7,Sample
203,20210716,2,E7,Sample
209,20210716,2,F7,Sample
215,20210716,2,G7,Sample
221,20210716,2,H7,Sample
179,20210716,2,A8,Sample
185,20210716,2,B8,Sample
191,20210716,2,C8,Sample
197,20210716,2,D8,Sample
203,20210716,2,E8,Sample
209,20210716,2,F8,Sample
215,20210716,2,G8,Sample
221,20210716,2,H8,Sample
179,20210716,2,A9,Sample
185,20210716,2,B9,Sample
191,20210716,2,C9,Sample
197,20210716,2,D9,Sample
203,20210716,2,E9,Sample
209,20210716,2,F9,Sample
215,20210716,2,G9,Sample
221,20210716,2,H9,Sample
227,20210716,2,A10,Sample
233,20210716,2,B10,Sample
239,20210716,2,C10,Sample
245,20210716,2,D10,Sample
251,20210716,2,E10,Sample
257,20210716,2,F10,Sample
263,20210716,2,G10,Sample
269,20210716,2,H10,Sample
227,20210716,2,A11,Sample
233,20210716,2,B11,Sample
239,20210716,2,C11,Sample
245,20210716,2,D11,Sample
251,20210716,2,E11,Sample
257,20210716,2,F11,Sample
263,20210716,2,G11,Sample
269,20210716,2,H11,Sample
227,20210716,2,A12,Sample
233,20210716,2,B12,Sample
239,20210716,2,C12,Sample
245,20210716,2,D12,Sample
251,20210716,2,E12,Sample
257,20210716,2,F12,Sample
263,20210716,2,G12,Sample
269,20210716,2,H12,Sample