Vial,Num.Squares,Count.1,Count.2,Count.3,Count.4,Count.5,Count.6,Date,Counter
3,4,148,137,129,128,144,146,20210628,KW
9,9,96,113,121,131,118,122,20210628,KW
15,9,47,56,59,65,58,51,20210628,KW
21,9,67,53,52,48,52,52,20210628,KW
27,4,135,117,118,112,131,124,20210628,KW
33,3,152,167,172,163,158,175,20210628,KW
39,5,115,135,116,124,136,146,20210628,KW
45,2,174,175,200,187,207,205,20210628,KW
51,3,195,182,177,176,189,197,20210628,KW
57,4,129,134,122,120,112,123,20210629,KW
63,3,161,146,162,149,166,160,20210629,KW
69,9,61,63,66,80,76,78,20210629,KW
75,2,146,143,139,130,134,135,20210629,KW
81,4,111,121,105,120,118,108,20210629,KW
87,3,155,157,148,143,158,140,20210629,KW
93,6,149,129,151,154,160,156,20210629,KW
99,9,102,114,102,116,105,108,20210629,KW
105,9,100,111,98,99,96,103,20210629,KW
111,6,128,126,136,141,146,145,20210701,KW
117,9,108,107,120,102,108,103,20210701,KW
123,3,155,143,148,144,163,153,20210701,KW
129,9,77,75,71,79,80,81,20210701,KW
135,9,72,76,75,72,69,67,20210701,KW
141,9,51,57,67,49,53,48,20210702,KW
147,4,159,184,178,154,159,173,20210702,KW
153,9,47,45,47,56,61,53,20210702,KW
159,9,40,57,50,45,59,42,20210702,KW
165,9,48,54,49,57,47,54,20210702,KW
171,9,97,88,103,108,91,92,20210702,KW
177,4,150,153,155,172,178,148,20210702,KW
183,4,138,139,146,131,139,127,20210702,KW
189,4,118,123,116,122,120,125,20210702,KW
195,3,221,224,217,205,229,209,20210702,KW
201,9,67,79,81,85,81,82,20210706,KW
207,9,79,77,68,82,89,69,20210706,KW
213,4,114,117,115,109,111,114,20210706,KW
219,9,81,82,97,87,85,91,20210706,KW
225,3,139,139,140,133,138,134,20210706,KW
231,6,122,140,145,147,140,156,20210706,KW
237,9,112,124,108,109,119,117,20210706,KW
243,4,138,121,123,131,130,128,20210707,KW
249,2,173,168,162,163,158,157,20210707,KW
255,4,115,117,129,131,137,131,20210707,KW
261,4,151,140,155,135,134,148,20210707,KW
267,4,162,160,156,175,153,155,20210707,KW